"ID","IdPlayerTypes","IdSkillListing","Description"
"106","40","30","Champion Jordell Block"
"107","40","7","Champion Jordell Dodge"
"108","40","28","Champion Jordell DivinCatch"
"109","40","11","Champion Jordell Leap"
"110","40","56","Champion Jordell SideStep"
"112","39","44","Champion HeadSpliter Loner"
"113","39","36","Champion HeadSpliter Frenzy"
"114","39","13","Champion HeadSpliter MBlow"
"115","39","49","Champion HeadSpliter Prehensile"
"116","41","44","Champion Ripper Loner"
"117","41","13","Champion Ripper MBlow"
"118","41","37","Champion Ripper Grab"
"119","41","19","Champion Ripper Regen"
"120","41","64","Champion Ripper Throwteam"
"121","42","44","Champion Slibli Loner"
"122","42","30","Champion Slibli Block"
"123","42","37","Champion Slibli Grab"
"124","42","38","Champion Slibli Guard"
"125","42","17","Champion Slibli StandFirm"
"126","43","44","Champion Varag Loner"
"127","43","30","Champion Varag Block"
"128","43","13","Champion Varag MBlow"
"129","43","63","Champion Varag TSkull"
"130","43","41","Champion Varag JumpUp"
"131","44","18","Goblin Troll Always Hungry"
"132","44","44","Goblin Troll Loner"
"133","44","13","Goblin Troll Mighty Blow"
"134","44","51","Goblin Troll Really Stupid"
"135","44","19","Goblin Troll Regeneration"
"136","44","64","Goblin Troll Throw Team-Mate"
"138","45","7","Gob Pogo Dodge"
"140","45","11","Gob Pogo Leap"
"141","45","32","Gob Pogo Very Long Legs"
"142","45","59","Gob Pogo Stunty"
"143","46","54","Gob Fanatic"
"144","46","76","Gob Fanatic"
"145","46","46","Gob Fanatic"
"146","46","59","Gob Fanatic"
"147","48","29","Elf Noir Runner"
"148","49","55","Elf Noir Assasins"
"149","49","77","Elf Noir Assassin"
"150","50","30","Elf Noir Blitzer"
"151","51","36","Elf Noir Furie"
"152","51","7","Elf Noir Furie"
"153","51","41","Elf Noir Furie"
"154","52","44","Champion Horkon"
"155","52","7","Champion Horkon"
"156","52","11","Champion Horkon"
"157","52","70","Champion Horkon"
"158","52","55","Champion Horkon"
"159","52","77","Champion Horkon"
"160","10","22","Deathroller"
"161","10","27","Deathroller"
"162","10","40","Deathroller"
"163","10","13","Deathroller"
"164","10","46","Deathroller"
"165","10","54","Deathroller"
"166","10","17","Deathroller"
"167","53","44","Champion Morg Loner"
"168","53","30","Champion Morg Block"
"169","53","13","Champion Morg Mighty Blow"
"170","53","63","Champion Morg Thick Skull"
"171","53","64","Champion Morg Throw Team Mate"
"172","54","19","Undead Skeleton Regeneration"
"173","55","19","Undead Zombie Regeneration"
"174","56","7","Undead Ghoul Dodge"
"175","57","30","Undead Wight Block"
"176","57","19","Undead Wight Regeneration"
"177","58","13","Undead Mummy Mighty Blow"
"178","58","19","Undead Mummy Regeneration"
"179","59","44","Champion Count Luthor von Drakenborg Loner"
"180","59","30","Champion Count Luthor von Drakenborg Block"
"181","59","56","Champion Count Luthor von Drakenborg Side Step"
"182","59","78","Champion Count Luthor von Drakenborg Hypnotic Gaze"
"183","59","19","Champion Count Luthor von Drakenborg Regeneration"
"204","60","7","Halfling Halfling Dodge"
"205","60","52","Halfling Halfling Right Stuff"
"206","60","59","Halfling Halfling Stunty"
"207","61","13","Hafling Treeman Mighty Blow"
"209","61","17","Hafling Treeman Stand Firm"
"210","61","58","Haflling Treeman Strong Arm"
"211","61","63","Hafling Treeman Thick Skull"
"212","61","64","Hafling Treeman ThrowTeam-Mate"
"213","61","20","Hafling Treeman Take Root"
"214","62","30","Norse Lineman Block"
"215","63","30","Norse Thrower Block"
"216","63","47","Norse Thrower Pass"
"217","64","30","Norse Runner Block"
"218","64","26","Norse Runner Dauntless"
"219","65","30","Norse Berserker Block"
"220","65","36","Norse Berserker Frenzy"
"221","65","41","Norse Berzerker Jump Up"
"222","66","36","Norse Ulfwerener Frenzy"
"223","67","44","Norse Yhetee Loner"
"224","67","75","Norse Yhetee Claws"
"225","67","33","Norse Yhetee Disturbing Presence"
"226","67","36","Norse Yhetee Frenzy"
"227","67","67","Norse Yhetee Wild Animal"
"228","68","7","Amazon Linewoman Dodge"
"229","69","7","Amazon Thrower Dodge"
"230","69","47","Amazon Thrower Pass"
"231","70","7","Amazon Catcher Dodge"
"232","70","6","Amazon Catcher Catch"
"234","71","7","Amazon Blitzer Dodge"
"235","73","47","Pro Elf Thrower Pass"
"236","74","6","Pro Elf Catcher Catch"
"237","74","45","Pro Elf Catcher Nerves of Steel"
"238","75","30","Pro Elf Blitzer Block"
"239","75","56","Pro Elf Blitzer Side Step"
"240","78","47","High Elf Thrower Pass"
"241","78","53","High Elf Thrower Safe Throw"
"242","79","6","High Elf Catcher Catch"
"243","80","30","High Elf Blitzer Block"
"244","81","19","Khemri Skeleton Regeneration"
"245","81","63","Khemri Skeleton Thick Skull"
"246","82","47","Khemri Thro-Ra Pass"
"247","82","19","Khemri Thro-Ra Regeneration"
"248","82","61","Khemri Thro-Ra Sure Hands"
"249","83","30","Khemri Blitz-Ra Block"
"250","83","19","Khemri Blitz-Ra Regeneration"
"251","84","81","Khemri Tomb Guardian Decay"
"252","84","19","Khemri Tomb Guardian Regeneration"
"257","89","19","Necromantic Flesh Golem Regeneration"
"258","89","17","Necromantic Flesh Golem Stand Firm"
"259","89","63","Necromantic Flesh Golem Thick Skull"
"260","90","75","Necromantic Werewolf Claws"
"261","90","36","Necromantic Werewolf Frenzy"
"262","90","19","Necromantic Werewolf Regeneration"
"263","91","81","Nurgle Rotter Decay"
"264","91","82","Nurgle Rotter Nurgle's Rot"
"265","92","15","Nurgle Pestigor Horns"
"266","92","82","Nurgle Pestigor Nurgle's Rot"
"267","92","19","Nurgle Pestigor Regeneration"
"268","93","33","Nurgle Nurgle Warrior Disturbing Presence"
"269","93","10","Nurgle Nurgle Warrior Foul Appearance"
"270","93","82","Nurgle Nurgle Warrior Nurgle's Rot"
"271","93","19","Nurgle Nurgle Warrior Regeneration"
"272","94","44","Nurgle Beast of Nurgle Loner"
"273","94","33","Nurgle Beast of Nurgle Disturbing Presence"
"274","94","10","Nurgle Beast of Nurgle Foul Appearance"
"275","94","13","Nurgle Beast of Nurgle Mighty Blow"
"276","94","82","Nurgle Beast of Nurgle Nurgle's Rot"
"277","94","51","Nurgle Beast of Nurgle Really Stupid"
"278","94","19","Nurgle Beast of Nurgle Regeneration"
"279","94","69","Nurgle Beast of Nurgle Tentacles"
"280","95","7","Ogre Snotling Dodge"
"281","95","52","Ogre Snotling Right Stuff"
"282","95","56","Ogre Snotling Side Step"
"283","95","59","Ogre Snotling Stunty"
"284","95","83","Ogre Snotling Titchy"
"285","96","31","Ogre Ogre Bone-head"
"286","96","13","Ogre Ogre Mighty Blow"
"287","96","63","Ogre Ogre Thick Skull"
"288","96","64","Ogre Ogre Throw Team-Mate"
"289","98","84","Vampire Vampire Blood Lust"
"290","98","78","Vampire Vampire Hypnotic Gaze"
"291","98","19","Vampire Vampire Regeneration"
"292","10","44","Deathroller Loner"
"293","54","63","Undead Skeleton Thick Skull"
"294","12","8","Wood Elf Catcher Sprint"
"295","106","44","Champion Hammerblow Loner"
"296","106","75","Champion Hammerblow Claws"
"297","106","33","Champion Hammerblow DisturbingPresence"
"298","106","36","Champion Hammerblow Frenzy"
"299","106","19","Champion Hammerblow Regeneration"
"300","106","63","Champion Hammerblow ThickSkull"
"301","105","44","Champion Ramtut Loner"
"302","105","22","Champion Ramtut BreakTackle"
"303","105","13","Champion Ramtut Mighty Blow"
"304","105","19","Champion Ramtut Regeneration"
"305","105","68","Champion Ramtut Wrestle"
"306","104","44","Champion Nekbrekerekh Loner"
"307","104","30","Champion Nekbrekerekh Block"
"308","104","22","Champion Nekbrekerekh BreakTackle"
"309","104","40","Champion Nekbrekerekh Juggernaut"
"310","104","19","Champion Nekbrekerekh Regeneration"
"311","104","1","Champion Nekbrekerekh StripBall"
"312","103","44","Champion Deeproot Loner"
"313","103","30","Champion Deeproot Block"
"314","103","13","Champion Deeproot MightyBlow"
"315","103","17","Champion Deeproot StandFirm"
"316","103","58","Champion Deeproot StrongArm"
"317","103","63","Champion Deeproot ThickSkulle"
"318","103","64","Champion Deeproot ThrowTeamMate"
"319","102","44","Champion Borak Loner"
"320","102","30","Champion Borak Block"
"321","102","27","Champion Borak DirtyPlayer"
"322","102","13","Champion Borak MightyBlow"
"323","101","44","Champion Eldril Loner"
"324","101","6","Champion Eldril Catch"
"325","101","7","Champion Eldril Dodge"
"326","101","78","Champion Eldril Hyptnotic Gaze"
"327","101","45","Champion Eldril NervesOfSteel"
"329","100","44","Champion Scrappa Loner"
"330","100","27","Champion Scrappa DirtyPlayer"
"331","100","7","Champion Scrappa Dodge"
"332","100","11","Champion Scrappa Leap"
"334","100","8","Champion Scrappa Sprint"
"335","100","59","Champion Scrappa Stunty"
"336","100","60","Champion Scrappa SureFeet"
"337","100","32","Champion Scrappa VeryLongLegs"
"338","99","44","Champions Zara Loner"
"339","99","30","Champions Zara Block"
"340","99","26","Champions Zara Dauntless"
"341","99","7","Champions Zara Dodge"
"342","99","41","Champions Zara JumpUp"
"343","99","77","Champions Zara Stab"
"344","99","79","Champions Zara Stakes"
"345","107","80","Goblin Bombardier Bombardier"
"346","107","7","Goblin Bombardier Dodge"
"347","107","59","Goblin Bombardier Stunty"
"348","107","54","Goblin Bombardier Secret Weapon"
"349","109","30","Chaos Dwarf Blocker Block"
"350","109","57","Chaos Dwarf Blocker Tackle"
"351","109","63","Chaos Dwarf Blocker Thick Skull"
"352","110","8","Chaos Dwarf Bull Centaur Sprint"
"353","110","60","Chaos Dwarf Bull Centaur Sure Feet"
"354","110","63","Chaos Dwarf Bull Centaur Thick Skull"
"355","111","44","Chaos Dwarf Minotaur Loner"
"356","111","36","Chaos Dwarf Minotaur Frenzy"
"357","111","15","Chaos Dwarf Minotaur Horns"
"358","111","13","Chaos Dwarf Minotaur Mighty Blow"
"359","111","63","Chaos Dwarf Minotaur Thick Skull"
"360","111","67","Chaos Dwarf Minotaur Wild Animal"
"398","123","52","Underworld Goblin Right Stuff"
"399","123","7","Underworld Goblin Dodge"
"400","123","59","Underworld Goblin Stunty"
"401","124","86","Underworld Skaven Lineman Animosity"
"402","125","86","Underworld Skaven Thrower Animosity"
"403","125","47","Underworld Skaven Thrower Pass"
"404","125","61","Underworld Skaven Thrower Sure Hands"
"405","126","86","Underworld Skaven Blitzer Animosity"
"406","126","30","Underworld Skaven Blitzer Block"
"407","127","44","Underworld Warpstone Troll Loner"
"408","127","18","Underworld Warpstone Troll Always Hungry"
"409","127","13","Underworld Warpstone Troll Mighty Blow"
"410","127","51","Underworld Warpstone Troll Really Stupid"
"411","127","19","Underworld Warpstone Troll Regeneration"
"412","127","64","Underworld Warpstone Troll Throw Team-Mate"
"435","134","44","Champion Zzharg Madeye Loner"
"436","134","39","Champion Zzharg Madeye Hail Mary Pass"
"437","134","47","Champion Zzharg Madeye Pass"
"438","134","54","Champion Zzharg Madeye Secret Weapon"
"439","134","58","Champion Zzharg Madeye Strong Arm"
"440","134","61","Champion Zzharg Madeye Sure Hands"
"441","134","57","Champion Zzharg Madeye Tackle"
"442","134","63","Champion Zzharg Madeye Thick Skull"
"443","133","44","Champion Bomber Dribblesnot Loner"
"444","133","21","Champion Bomber Dribblesnot Accurate"
"445","133","80","Champion Bomber Dribblesnot Bombardier"
"446","133","7","Champion Bomber Dribblesnot Dodge"
"448","133","54","Champion Bomber Dribblesnot Secret Weapon"
"454","71","30","Amazon Blitzer Block"
"456","139","35","Bretonnia Lineman Fend"
"457","141","68","Bretonnia Blocker Wrestle"
"458","140","30","Bretonnia Blitzer Block"
"459","140","6","Bretonnia Blitzer Catch"
"460","140","26","Bretonnia Blitzer Dauntless"
"461","142","11","Kislev Lineman Leap"
"462","142","32","Kislev Lineman Very Long Legs"
"463","143","11","Kislev Catcher Leap"
"464","143","32","Kislev Catcher Very Long Legs"
"465","143","28","Kislev Catcher Diving Catch"
"466","144","11","Kislev Blitzer Leap"
"467","144","32","Kislev Blitzer Very Long Legs"
"468","144","41","Kislev Blitzer Jump Up"
"469","144","34","Kislev Blitzer Diving Tackle"
"470","145","49","Kislev Tame Bear Prehensile Tail"
"471","145","13","Kislev Tame Bear Mighty Blow"
"472","145","63","Kislev Tame Bear Thick Skull"
"473","145","31","Kislev Tame Bear Bonehead"
"474","145","44","Kislev Tame Bear Loner"
"475","135","44","Champion Mighty Zug Loner"
"476","135","30","Champion Mighty Zug Block"
"477","135","13","Champion Mighty Zug Mighty Blow"
"478","136","44","Champion J Earlice Loner"
"479","136","6","Champion J Earlice Catch"
"480","136","28","Champion J Earlice Diving Catch"
"481","136","7","Champion J Earlice Dodge"
"482","136","8","Champion J Earlice Sprint"
"483","137","44","Champion Hubris Rakarth Loner"
"484","137","30","Champion Hubris Rakarth Block"
"485","137","27","Champion Hubris Rakarth Dirty Player"
"486","137","41","Champion Hubris Rakarth Jump Up"
"487","137","13","Champion Hubris Rakarth Mighty Blow"
"488","137","1","Champion Hubris Rakarth Strip Ball"
"489","138","44","Champion Hakflem Skuttlespike Loner"
"490","138","7","Champion Hakflem Skuttlespike Dodge"
"491","138","12","Champion Hakflem Skuttlespike Extra Arms"
"492","138","49","Champion Hakflem Skuttlespike Prehensile Tail"
"493","138","16","Champion Hakflem Skuttlespike Two Heads"
"494","146","44","Champion Barik Farblast Loner"
"495","146","39","Champion Barik Farblast Hail Mary Pass"
"496","146","47","Champion Barik Farblast Pass"
"497","146","54","Champion Barik Farblast Secret Weapon"
"498","146","58","Champion Barik Farblast Strong Arm"
"499","146","61","Champion Barik Farblast Sure Hands"
"500","146","63","Champion Barik Farblast Thick Skull"
"501","147","44","Champion Dolfar Longstride Loner"
"502","147","28","Champion Dolfar Longstride Diving Catch"
"503","147","39","Champion Dolfar Longstride Hail Mary Pass"
"504","147","71","Champion Dolfar Longstride Kick"
"505","147","72","Champion Dolfar Longstride Kick-off Return"
"507","148","44","Champion Grotty Loner"
"508","148","7","Champion Grotty Dodge"
"509","148","52","Champion Grotty Right Stuff"
"510","148","59","Champion Grotty Stunty"
"511","149","44","Champion Glart Smashrip Jr Loner"
"512","149","30","Champion Glart Smashrip Jr Block"
"513","149","75","Champion Glart Smashrip Jr Claw"
"514","149","40","Champion Glart Smashrip Jr Juggernaut"
"515","150","44","Champion Prince Moranion Loner"
"516","150","30","Champion Prince Moranion Block"
"517","150","26","Champion Prince Moranion Dauntless"
"518","150","57","Champion Prince Moranion Tackle"
"519","150","68","Champion Prince Moranion Wrestle"
"520","151","44","Champion Roxanna Darknail Loner"
"521","151","7","Champion Roxanna Darknail Dodge"
"522","151","36","Champion Roxanna Darknail Frenzy"
"523","151","41","Champion Roxanna Darknail Jump Up"
"524","151","40","Champion Roxanna Darknail Juggernaut"
"525","151","11","Champion Roxanna Darknail Leap"
"526","152","44","Champion Soaren Hightower Loner"
"527","152","35","Champion Soaren Hightower Fend"
"529","152","47","Champion Soaren Hightower Pass"
"530","152","53","Champion Soaren Hightower Safe Throw"
"531","152","61","Champion Soaren Hightower Sure Hands"
"532","152","58","Champion Soaren Hightower Strong Arm"
"540","154","44","Champion Fezglitch Loner"
"541","154","76","Champion Fezglitch Ball & Chain"
"542","154","33","Champion Fezglitch Disturbing Presence"
"543","154","10","Champion Fezglitch Foul Appearance"
"544","154","46","Champion Fezglitch No Hands"
"545","154","54","Champion Fezglitch Secret Weapon"
"554","157","44","Champion Ithaca Benoin Loner"
"555","157","21","Champion Ithaca Benoin Accurate"
"556","157","29","Champion Ithaca Benoin Dump Off"
"557","157","45","Champion Ithaca Benoin Nerves of Steel"
"558","157","47","Champion Ithaca Benoin Pass"
"559","157","19","Champion Ithaca Benoin Regeneration"
"560","157","61","Champion Ithaca Benoin Sure Hands"
"561","158","44","Champion Lewdgrip Whiparm Loner"
"562","158","47","Champion Lewdgrip Whiparm Pass"
"563","158","58","Champion Lewdgrip Whiparm Strong Arm"
"564","158","61","Champion Lewdgrip Whiparm Sure Hands"
"565","158","69","Champion Lewdgrip Whiparm Tentacles"
"570","160","44","Champion Max Spleenripper Loner"
"571","160","25","Champion Max Spleenripper Chainsaw"
"572","160","54","Champion Max Spleenripper Secret Weapon"
"573","161","44","Champion Puggy Baconbreath Loner"
"574","161","30","Champion Puggy Baconbreath Block"
"575","161","7","Champion Puggy Baconbreath Dodge"
"576","161","45","Champion Puggy Baconbreath Nerves of Steel"
"577","161","52","Champion Puggy Baconbreath Right Stuff"
"578","161","59","Champion Puggy Baconbreath Stunty"
"579","162","44","Champion Skitter Stab-Stab Loner"
"580","162","7","Champion Skitter Stab-Stab Dodge"
"581","162","49","Champion Skitter Stab-Stab Prehensile Tail"
"582","162","55","Champion Skitter Stab-Stab Shadowing"
"583","162","77","Champion Skitter Stab-Stab Stab"
"584","163","44","Champion Ugroth Bolgrot Loner"
"585","163","25","Champion Ugroth Bolgrot Chainsaw"
"586","163","54","Champion Ugroth Bolgrot Secret Weapon"
"587","164","44","Champion BrickFar'th Loner"
"588","164","31","Champion BrickFar'th Bone-head"
"589","164","13","Champion BrickFar'th Mighty Blow"
"590","164","45","Champion BrickFar'th Nerves of Steel"
"591","164","58","Champion BrickFar'th Strong Arm"
"592","164","63","Champion BrickFar'th Thick Skull"
"593","164","64","Champion BrickFar'th Throw Team-Mate"
"608","214","44","Fallback-Champion Grashnak Loner"
"609","214","36","Fallback-Champion Grashnak Frenzy"
"610","214","15","Fallback-Champion Grashnak Horns"
"611","214","13","Fallback-Champion Grashnak MBlow"
"612","214","63","Fallback-Champion Grashnak TSkull"
"613","215","44","Fallback-Champion Griff Loner"
"614","215","30","Fallback-Champion Griff Block"
"615","215","7","Fallback-Champion Griff Dodge"
"616","215","35","Fallback-Champion Griff Fend"
"617","215","8","Fallback-Champion Griff Sprint"
"618","215","60","Fallback-Champion Griff SFeet"
"619","216","44","Fallback-Champion Grim Loner"
"620","216","36","Fallback-Champion Grim Frenzy"
"621","216","30","Fallback-Champion Grim Block"
"622","216","70","Fallback-Champion Grim MultipleBlock"
"623","216","63","Fallback-Champion Grim TSkull"
"624","216","26","Fallback-Champion Grim Dauntless"
"625","217","44","Fallback-Champion HeadSpliter Loner"
"626","217","36","Fallback-Champion HeadSpliter Frenzy"
"627","217","13","Fallback-Champion HeadSpliter MBlow"
"628","217","49","Fallback-Champion HeadSpliter Prehensile"
"629","218","44","Fallback-Champion Jordell Loner"
"630","218","30","Fallback-Champion Jordell Block"
"631","218","7","Fallback-Champion Jordell Dodge"
"632","218","28","Fallback-Champion Jordell DivinCatch"
"633","218","11","Fallback-Champion Jordell Leap"
"634","218","56","Fallback-Champion Jordell SideStep"
"635","219","44","Fallback-Champion Ripper Loner"
"636","219","13","Fallback-Champion Ripper MBlow"
"637","219","37","Fallback-Champion Ripper Grab"
"638","219","19","Fallback-Champion Ripper Regen"
"639","219","64","Fallback-Champion Ripper Throwteam"
"640","220","44","Fallback-Champion Slibli Loner"
"641","220","30","Fallback-Champion Slibli Block"
"642","220","37","Fallback-Champion Slibli Grab"
"643","220","38","Fallback-Champion Slibli Guard"
"644","220","17","Fallback-Champion Slibli StandFirm"
"645","221","44","Fallback-Champion Varag Loner"
"646","221","30","Fallback-Champion Varag Block"
"647","221","13","Fallback-Champion Varag MBlow"
"648","221","63","Fallback-Champion Varag TSkull"
"649","221","41","Fallback-Champion Varag JumpUp"
"650","222","44","Fallback-Champion Horkon"
"651","222","7","Fallback-Champion Horkon"
"652","222","11","Fallback-Champion Horkon"
"653","222","70","Fallback-Champion Horkon"
"654","222","55","Fallback-Champion Horkon"
"655","222","77","Fallback-Champion Horkon"
"656","223","44","Fallback-Champion Morg Loner"
"657","223","30","Fallback-Champion Morg Block"
"658","223","13","Fallback-Champion Morg Mighty Blow"
"659","223","63","Fallback-Champion Morg Thick Skull"
"660","223","64","Fallback-Champion Morg Throw Team Mate"
"661","224","44","Fallback-Champion Count Luthor von Drakenborg Loner"
"662","224","30","Fallback-Champion Count Luthor von Drakenborg Block"
"663","224","56","Fallback-Champion Count Luthor von Drakenborg Side Step"
"664","224","78","Fallback-Champion Count Luthor von Drakenborg Hypnotic Gaze"
"665","224","19","Fallback-Champion Count Luthor von Drakenborg Regeneration"
"666","225","44","Fallback-Champions Zara Loner"
"667","225","30","Fallback-Champions Zara Block"
"668","225","26","Fallback-Champions Zara Dauntless"
"669","225","7","Fallback-Champions Zara Dodge"
"670","225","41","Fallback-Champions Zara JumpUp"
"671","225","77","Fallback-Champions Zara Stab"
"672","225","79","Fallback-Champions Zara Stakes"
"673","226","44","Fallback-Champion Scrappa Loner"
"674","226","27","Fallback-Champion Scrappa DirtyPlayer"
"675","226","7","Fallback-Champion Scrappa Dodge"
"676","226","11","Fallback-Champion Scrappa Leap"
"678","226","8","Fallback-Champion Scrappa Sprint"
"679","226","59","Fallback-Champion Scrappa Stunty"
"680","226","60","Fallback-Champion Scrappa SureFeet"
"681","226","32","Fallback-Champion Scrappa VeryLongLegs"
"682","227","44","Fallback-Champion Eldril Loner"
"683","227","6","Fallback-Champion Eldril Catch"
"684","227","7","Fallback-Champion Eldril Dodge"
"685","227","78","Fallback-Champion Eldril Hyptnotic Gaze"
"686","227","45","Fallback-Champion Eldril NervesOfSteel"
"688","228","44","Fallback-Champion Borak Loner"
"689","228","30","Fallback-Champion Borak Block"
"690","228","27","Fallback-Champion Borak DirtyPlayer"
"691","228","13","Fallback-Champion Borak MightyBlow"
"692","229","44","Fallback-Champion Deeproot Loner"
"693","229","30","Fallback-Champion Deeproot Block"
"694","229","13","Fallback-Champion Deeproot MightyBlow"
"695","229","17","Fallback-Champion Deeproot StandFirm"
"696","229","58","Fallback-Champion Deeproot StrongArm"
"697","229","63","Fallback-Champion Deeproot ThickSkulle"
"698","229","64","Fallback-Champion Deeproot ThrowTeamMate"
"699","230","44","Fallback-Champion Nekbrekerekh Loner"
"700","230","30","Fallback-Champion Nekbrekerekh Block"
"701","230","22","Fallback-Champion Nekbrekerekh BreakTackle"
"702","230","40","Fallback-Champion Nekbrekerekh Juggernaut"
"703","230","19","Fallback-Champion Nekbrekerekh Regeneration"
"704","230","1","Fallback-Champion Nekbrekerekh StripBall"
"705","231","44","Fallback-Champion Ramtut Loner"
"706","231","22","Fallback-Champion Ramtut BreakTackle"
"707","231","13","Fallback-Champion Ramtut Mighty Blow"
"708","231","19","Fallback-Champion Ramtut Regeneration"
"709","231","68","Fallback-Champion Ramtut Wrestle"
"710","232","44","Fallback-Champion Hammerblow Loner"
"711","232","75","Fallback-Champion Hammerblow Claws"
"712","232","33","Fallback-Champion Hammerblow DisturbingPresence"
"713","232","36","Fallback-Champion Hammerblow Frenzy"
"714","232","19","Fallback-Champion Hammerblow Regeneration"
"715","232","63","Fallback-Champion Hammerblow ThickSkull"
"716","233","44","Fallback-Champion Bomber Dribblesnot Loner"
"717","233","21","Fallback-Champion Bomber Dribblesnot Accurate"
"718","233","80","Fallback-Champion Bomber Dribblesnot Bombardier"
"719","233","7","Fallback-Champion Bomber Dribblesnot Dodge"
"721","233","54","Fallback-Champion Bomber Dribblesnot Secret Weapon"
"722","233","59","Fallback-Champion Bomber Dribblesnot Stunty"
"723","234","44","Fallback-Champion Zzharg Madeye Loner"
"724","234","39","Fallback-Champion Zzharg Madeye Hail Mary Pass"
"725","234","47","Fallback-Champion Zzharg Madeye Pass"
"726","234","54","Fallback-Champion Zzharg Madeye Secret Weapon"
"727","234","58","Fallback-Champion Zzharg Madeye Strong Arm"
"728","234","61","Fallback-Champion Zzharg Madeye Sure Hands"
"729","234","57","Fallback-Champion Zzharg Madeye Tackle"
"730","234","63","Fallback-Champion Zzharg Madeye Thick Skull"
"731","235","44","Fallback-Champion Mighty Zug Loner"
"732","235","30","Fallback-Champion Mighty Zug Block"
