"ID","IdPlayerTypes","IdSkillCategories","Description"
"161","70","3","Amazon Catcher Passing"
"162","70","4","Amazon Catcher Strength"
"163","71","2","Amazon Blitzer Agility"
"164","71","3","Amazon Blitzer Passing"
"165","72","3","Pro Elf Lineman Passing"
"166","72","4","Pro Elf  Lineman Strength"
"167","73","4","Pro Elf Thrower Strength"
"168","74","3","Pro Elf Catcher Passing"
"169","74","4","Pro Elf Catcher Strength"
"170","75","3","Pro Elf Blitzer Passing"
"171","75","4","Pro Elf Blitzer Strength"
"172","77","3","High Elf Lineman Passing"
"173","77","4","High Elf Lineman Strength"
"174","78","4","High Elf Thrower Strength"
"175","79","3","High Elf Catcher Passing"
"176","79","4","High Elf Catcher Strength"
"177","80","3","High Elf Blitzer Passing"
"178","80","4","High Elf Blitzer Strength"
"179","81","2","Khemri Skeleton Agility"
"180","81","3","Khemri Skeleton Passing"
"181","81","4","Khemri Skeleton Strength"
"182","82","2","Khemri Thro-Ra Agility"
"183","82","4","Khemri Thro-Ra Strength"
"184","83","2","Khemri Blitz-Ra Agility"
"185","83","3","Khemri Blitz-Ra Passing"
"186","84","1","Khemri Tomb Guardian General"
"187","84","2","Khemri Tomb Guardian Agility"
"188","84","3","Khemri Tomb Guardian Passing"
"196","89","2","Necromantic Flesh Golem Agility"
"197","89","3","Necromantic Flesh Golem Passing"
"198","90","3","Necromantic Werewolf Passing"
"199","90","4","Necromantic Werewolf Strength"
"200","91","2","Nurgle Rotter Agility"
"201","91","3","Nurgle Rotter Passing"
"202","91","4","Nurgle Rotter Strength"
"203","92","2","Nurgle Pestigor Agility"
"204","92","3","Nurgle Pestigor Passing"
"205","93","2","Nurgle Warrior Agility"
"206","93","3","Nurgle Warrior Passing"
"207","94","1","Nurgle Beast of Nurgle General"
"208","94","2","Nurgle Beast of Nurgle Agility"
"209","94","3","Nurgle Beast of Nurgle Passing"
"210","94","5","Nurgle Beast of Nurgle Mutation"
"211","95","1","Ogre Snotling General"
"212","95","3","Ogre Snotling Passing"
"213","95","4","Ogre Snotling Strength"
"214","96","1","Ogre Ogre General"
"215","96","2","Ogre Ogre Agility"
"216","96","3","Ogre Ogre Passing"
"217","97","2","Vampire Thrall Agility"
"218","97","3","Vampire Thrall Passing"
"219","97","4","Vampire Thrall Strength"
"220","98","3","Vampire Vampire Passing"
"221","107","1","Goblin Bombardier General"
"222","107","3","Goblin Bombardier Passing"
"223","107","4","Goblin Bombardier Strength"
"224","108","2","Chaos Dwarf Hobgoblin Agility"
"225","108","4","Chaos Dwarf Hobgoblin Strength"
"226","108","3","Chaos Dwarf Hobgoblin Passing"
"227","109","2","Chaos Dwarf Blocker Agility"
"228","109","3","Chaos Dwarf Blocker Passing"
"229","109","5","Chaos Dwarf Blocker Mutation"
"230","110","2","Chaos Dwarf Bull Centaur Agility"
"231","110","3","Chaos Dwarf Bull Centaur Passing"
"232","111","1","Chaos Dwarf Minotaur General"
"233","111","2","Chaos Dwarf Minotaur Agility"
"234","111","3","Chaos Dwarf Minotaur Passing"
"235","111","5","Chaos Dwarf Minotaur Mutation"
"266","123","1","Underworld Goblin General"
"267","123","4","Underworld Goblin Strength"
"268","123","3","Underworld Goblin Passing"
"269","124","2","Underworld Skaven Lineman Agility"
"270","124","4","Underworld Skaven Lineman Strength"
"271","124","3","Underworld Skaven Lineman Passing"
"272","125","2","Underworld Skaven Thrower Agility"
"273","125","4","Underworld Skaven Thrower Strength"
"274","126","2","Underworld Skaven Blitzer Agility"
"275","126","3","Underworld Skaven Blitzer Passing"
"276","127","1","Underworld Warpstone Troll General"
"277","127","2","Underworld Warpstone Troll Agility"
"278","127","3","Underworld Warpstone Troll Passing"
"291","139","2","Bretonnia Lineman Passing"
"292","139","4","Bretonnia Lineman Strength"
"294","140","4","Bretonnia Blocker Strength"
"295","141","2","Bretonnia Blocker Agility"
"296","141","3","Bretonnia Blocker Passing"
"297","142","2","Kislev Lineman Agility"
"298","142","3","Kislev Lineman Passing"
"299","142","4","Kislev Lineman Strength"
"300","143","3","Kislev Catcher Passing"
"301","143","4","Kislev Catcher Strength"
"302","144","3","Kislev Blitzer Passing"
"303","145","1","Kislev Tame Bear General"
"304","145","2","Kislev Tame Bear Agility"
"305","145","3","Kislev Tame Bear Passing"
"306","135","2","Zug Agility"
"307","135","3","Zug Passing"
"308","37","3","Griff Passing"
"329","139","3","Bretonnia Lineman Passing"
"2181","86","2","Undead Zombie Agility"
"2182","86","4","Undead Zombie Strength"
"2183","86","3","Undead Zombie Passing"
"2184","87","4","Undead Ghoul Strength"
"2185","87","3","Undead Ghoul Passing"
"2186","88","2","Undead Wright Agility"
"2187","88","3","Undead Wright Passing"
"2188","647","3","Griff Passing"
"2189","687","2","Zug Agility"
"2190","687","3","Zug Passing"
"2191","323","3","High Elf Lineman Passing"
"2192","323","4","High Elf Lineman Strength"
"2193","324","3","High Elf Blitzer Passing"
"2194","324","3","High Elf Blitzer Passing"
"2195","324","4","High Elf Blitzer Strength"
"2196","325","4","High Elf Thrower Strength"
"2197","326","3","High Elf Catcher Passing"
"2198","326","4","High Elf Catcher Strength"
"2199","327","2","Vampire Thrall Agility"
"2200","327","3","Vampire Thrall Passing"
"2201","327","4","Vampire Thrall Strength"
"2202","328","3","Vampire Vampire Passing"
"2203","329","2","Chaos Dwarf Hobgoblin Agility"
"2204","329","4","Chaos Dwarf Hobgoblin Strength"
"2205","329","3","Chaos Dwarf Hobgoblin Passing"
"2206","330","2","Chaos Dwarf Blocker Agility"
"2207","330","3","Chaos Dwarf Blocker Passing"
"2208","330","5","Chaos Dwarf Blocker Mutation"
"2209","331","2","Chaos Dwarf Bull Centaur Agility"
"2210","331","3","Chaos Dwarf Bull Centaur Passing"
"2211","332","1","Chaos Dwarf Minotaur General"
"2212","332","2","Chaos Dwarf Minotaur Agility"
"2213","332","3","Chaos Dwarf Minotaur Passing"
"2214","332","5","Chaos Dwarf Minotaur Mutation"
"2215","333","2","Bretonnia Lineman Passing"
"2216","333","4","Bretonnia Lineman Strength"
"2217","333","3","Bretonnia Lineman Passing"
"2218","334","2","Bretonnia Blocker Agility"
"2219","334","3","Bretonnia Blocker Passing"
"2220","335","4","Bretonnia Blocker Strength"
"2221","336","3",""
"2222","336","2",""
"2223","337","2",""
"2224","337","3",""
"2225","338","1",""
"2226","338","2",""
"2227","338","3",""
"2228","339","2",""
"2229","339","4",""
"2230","339","5",""
"2231","339","3",""
"2232","340","2",""
"2233","340","4",""
"2234","340","5",""
"2235","341","4",""
"2236","341","3",""
"2237","341","5",""
"2238","342","2",""
"2239","342","5",""
"2240","342","3",""
"2241","343","1",""
"2242","343","2",""
"2243","343","3",""
"2244","343","5",""
"2245","344","3",""
"2246","344","4",""
"2247","345","3",""
"2248","345","4",""
"2249","346","3",""
"2250","346","4",""
"2251","347","4",""
"2252","348","3",""
"2253","348","4",""
"2272","732","1","Underworld Goblin General"
"2273","732","4","Underworld Goblin Strength"
"2274","732","3","Underworld Goblin Passing"
"2275","733","2","Underworld Skaven Lineman Agility"
"2276","733","4","Underworld Skaven Lineman Strength"
"2277","733","3","Underworld Skaven Lineman Passing"
"2278","734","2","Underworld Skaven Thrower Agility"
"2279","734","4","Underworld Skaven Thrower Strength"
"2280","735","2","Underworld Skaven Blitzer Agility"
"2281","735","3","Underworld Skaven Blitzer Passing"
"2282","736","1","Underworld Warpstone Troll General"
"2283","736","2","Underworld Warpstone Troll Agility"
"2284","736","3","Underworld Warpstone Troll Passing"
"2285","355","3",""
"2286","355","2",""
"2287","356","2",""
"2288","356","3",""
"2289","357","1",""
"2290","357","2",""
"2291","357","3",""
"2292","358","2","Nurgle Rotter Agility"
"2293","358","3","Nurgle Rotter Passing"
"2294","358","4","Nurgle Rotter Strength"
"2295","359","2","Nurgle Pestigor Agility"
"2296","359","3","Nurgle Pestigor Passing"
"2297","360","2","Nurgle Warrior Agility"
"2298","360","3","Nurgle Warrior Passing"
"2299","361","1","Nurgle Beast of Nurgle General"
"2300","361","2","Nurgle Beast of Nurgle Agility"
"2301","361","3","Nurgle Beast of Nurgle Passing"
"2302","361","5","Nurgle Beast of Nurgle Mutation"
"2303","362","2","Chaos Dwarf Hobgoblin Agility"
"2304","362","4","Chaos Dwarf Hobgoblin Strength"
"2305","362","3","Chaos Dwarf Hobgoblin Passing"
"2306","363","2","Chaos Dwarf Blocker Agility"
"2307","363","3","Chaos Dwarf Blocker Passing"
"2308","363","5","Chaos Dwarf Blocker Mutation"
"2309","364","2","Chaos Dwarf Bull Centaur Agility"
"2310","364","3","Chaos Dwarf Bull Centaur Passing"
"2311","365","1","Chaos Dwarf Minotaur General"
"2312","365","2","Chaos Dwarf Minotaur Agility"
"2313","365","3","Chaos Dwarf Minotaur Passing"
"2314","365","5","Chaos Dwarf Minotaur Mutation"
"2315","366","2",""
"2316","366","3",""
"2317","366","4",""
"2318","367","2",""
"2319","367","3",""
"2320","368","2",""
"2321","368","4",""
"2322","369","1",""
"2323","369","3",""
"2324","369","4",""
"2325","370","2",""
"2326","370","3",""
"2327","371","1",""
"2328","371","2",""
"2329","371","3",""
"2330","372","1",""
"2331","372","3",""
"2332","372","4",""
"2333","373","1",""
"2334","373","3",""
"2335","373","4",""
"2336","374","1",""
"2337","374","3",""
"2338","374","4",""
"2339","375","1","Goblin Bombardier General"
"2340","375","3","Goblin Bombardier Passing"
"2341","375","4","Goblin Bombardier Strength"
"2342","376","2",""
"2343","376","1",""
"2344","376","3",""
"2345","377","1",""
"2346","377","2",""
"2347","377","3",""
"2348","378","2",""
"2349","378","4",""
"2350","378","5",""
"2351","378","3",""
"2352","379","2",""
"2353","379","5",""
"2354","379","3",""
"2355","380","2",""
"2356","380","4",""
"2357","380","5",""
"2358","381","4",""
"2359","381","3",""
"2360","381","5",""
"2361","382","1",""
"2362","382","2",""
"2363","382","3",""
"2364","382","5",""
"2365","737","1","Ogre Snotling General"
"2366","737","3","Ogre Snotling Passing"
"2367","737","4","Ogre Snotling Strength"
"2368","738","1","Ogre Ogre General"
"2369","738","2","Ogre Ogre Agility"
"2370","738","3","Ogre Ogre Passing"
"2371","387","3","High Elf Lineman Passing"
"2372","387","4","High Elf Lineman Strength"
"2373","388","3","High Elf Blitzer Passing"
"2374","388","3","High Elf Blitzer Passing"
"2375","388","4","High Elf Blitzer Strength"
"2376","389","3","High Elf Catcher Passing"
"2377","389","4","High Elf Catcher Strength"
"2378","390","4","High Elf Thrower Strength"
"2379","391","3",""
"2380","391","4",""
"2381","392","4",""
"2382","393","3",""
"2383","393","4",""
"2384","394","3",""
"2385","394","4",""
"2386","395","3",""
"2387","395","4",""
"2388","396","4","WoodElf Lineman Strength"
"2389","396","3","WoodElf Lineman Passing"
"2390","397","4","WoodElf Catcher Strength"
"2391","397","3","WoodElf Catcher Passing"
"2392","398","4","WoodElf Thrower Strength"
"2393","399","3","WoodElf Wardancer Passing"
"2394","399","4","WoodElf Wardancer Strength"
"2395","400","1","WoodElf Treeman General"
"2396","400","2","WoodElf Treeman Agility"
"2397","400","3","WoodElf Treeman Passing"
"2398","739","3","Pro Elf Lineman Passing"
"2399","739","4","Pro Elf  Lineman Strength"
"2400","740","3","Pro Elf Blitzer Passing"
"2401","740","4","Pro Elf Blitzer Strength"
"2402","741","4","Pro Elf Thrower Strength"
"2403","401","2","Kislev Lineman Agility"
"2404","401","3","Kislev Lineman Passing"
"2405","401","4","Kislev Lineman Strength"
"2406","402","3","Kislev Blitzer Passing"
"2407","403","3","Kislev Catcher Passing"
"2408","403","4","Kislev Catcher Strength"
"2409","404","1","Kislev Tame Bear General"
"2410","404","2","Kislev Tame Bear Agility"
"2411","404","3","Kislev Tame Bear Passing"
"2412","405","2","Norse Lineman Agility"
"2413","405","4","Norse Lineman Strength"
"2414","405","3","Norse Lineman Passing"
"2415","406","4","Norse Thrower Strength"
"2416","406","2","Norse Thrower Agility"
"2417","407","4","Norse Runner Strength"
"2418","407","3","Norse Runner Passing"
"2419","408","2","Norse Berserker Agility"
"2420","408","3","Norse Berserker Passing"
"2421","409","2","Norse Ulfwerener Agility"
"2422","409","3","Norse Ulfwerener Passing"
"2423","410","1","Norse Yhetee General"
"2424","410","2","Norse Yhetee Agility"
"2425","410","3","Norse Yhetee Passing"
"2426","411","2","Amazon Linewoman Agility"
"2427","411","3","Amazon Linewoman Passing"
"2428","411","4","Amazon Linewoman Strength"
"2429","412","2","Amazon Thrower Agility"
"2430","412","4","Amazon Thrower Strength"
"2431","413","3","Amazon Catcher Passing"
"2432","413","4","Amazon Catcher Strength"
"2433","414","2","Amazon Blitzer Agility"
"2434","414","3","Amazon Blitzer Passing"
"2435","415","1","Lizardman Skink General"
"2436","415","3","Lizardman Skink Passing"
"2437","415","4","Lizardman Skink Strength"
"2438","416","2","Lizardman Saurus Agility"
"2439","416","3","Lizardman Saurus Passing"
"2440","417","1","Lizardman Kroxigor General"
"2441","417","2","Lizardman Kroxigor Agility"
"2442","417","3","Lizardman Kroxigor Passing"
"2443","418","2","Bretonnia Blocker Agility"
"2444","418","3","Bretonnia Blocker Passing"
"2445","419","4","Bretonnia Blocker Strength"
"2446","420","2","Bretonnia Lineman Passing"
"2447","420","4","Bretonnia Lineman Strength"
"2448","420","3","Bretonnia Lineman Passing"
"2449","421","2","Human Blitzer Agility"
"2450","421","3","Human Blitzer Pass"
"2451","422","2","Human Lineman Agility"
"2452","422","3","Human Lineman Passing"
"2453","422","4","Human Lineman Strength"
"2454","423","3","Human Catcher Passing"
"2455","423","4","Human Catcher Strength"
"2456","424","2","Human Thrower Agility"
"2457","424","4","Human Thrower Pass"
"2458","425","2","Human Ogre Agility"
"2459","425","1","Human Ogre General"
"2460","425","3","Human Ogre Pass"
"2461","426","2",""
"2462","426","3",""
"2463","427","2",""
"2464","427","3",""
"2465","428","2",""
"2466","428","3",""
"2467","429","2",""
"2468","429","4",""
"2469","430","1",""
"2470","430","2",""
"2471","430","3",""
"2472","431","1","Halfling Halfling General"
"2473","431","4","Halfling Halfling Strength"
"2474","431","3","Hafling Halfling Passing"
"2475","432","2","Hafling Treeman Agility"
"2476","432","1","Hafling Treeman General"
"2477","432","3","Hafling Treeman Passing"
"2478","433","4","WoodElf Lineman Strength"
"2479","433","3","WoodElf Lineman Passing"
"2480","434","4","WoodElf Catcher Strength"
"2481","434","3","WoodElf Catcher Passing"
"2482","435","4","WoodElf Thrower Strength"
"2483","436","3","WoodElf Wardancer Passing"
"2484","436","4","WoodElf Wardancer Strength"
"2485","437","1","WoodElf Treeman General"
"2486","437","2","WoodElf Treeman Agility"
"2487","437","3","WoodElf Treeman Passing"
"2488","438","2","Human Lineman Agility"
"2489","438","3","Human Lineman Passing"
"2490","438","4","Human Lineman Strength"
"2491","439","2","Human Blitzer Agility"
"2492","439","3","Human Blitzer Pass"
"2493","440","3","Human Catcher Passing"
"2494","440","4","Human Catcher Strength"
"2495","441","2","Human Thrower Agility"
"2496","441","4","Human Thrower Pass"
"2497","442","2","Human Ogre Agility"
"2498","442","1","Human Ogre General"
"2499","442","3","Human Ogre Pass"
"2500","443","2","Bretonnia Lineman Passing"
"2501","443","4","Bretonnia Lineman Strength"
"2502","443","3","Bretonnia Lineman Passing"
"2503","444","2","Bretonnia Blocker Agility"
"2504","444","3","Bretonnia Blocker Passing"
"2505","445","4","Bretonnia Blocker Strength"
"2506","446","2","Kislev Lineman Agility"
"2507","446","3","Kislev Lineman Passing"
"2508","446","4","Kislev Lineman Strength"
"2509","447","3","Kislev Blitzer Passing"
"2510","448","3","Kislev Catcher Passing"
"2511","448","4","Kislev Catcher Strength"
"2512","449","1","Kislev Tame Bear General"
"2513","449","2","Kislev Tame Bear Agility"
"2514","449","3","Kislev Tame Bear Passing"
"2515","450","2","Norse Lineman Agility"
"2516","450","4","Norse Lineman Strength"
"2517","450","3","Norse Lineman Passing"
"2518","451","4","Norse Runner Strength"
"2519","451","3","Norse Runner Passing"
"2520","452","4","Norse Thrower Strength"
"2521","452","2","Norse Thrower Agility"
"2522","453","2","Norse Berserker Agility"
"2523","453","3","Norse Berserker Passing"
"2524","454","2","Norse Ulfwerener Agility"
"2525","454","3","Norse Ulfwerener Passing"
"2526","455","1","Norse Yhetee General"
"2527","455","2","Norse Yhetee Agility"
"2528","455","3","Norse Yhetee Passing"
"2529","456","2","Amazon Linewoman Agility"
"2530","456","3","Amazon Linewoman Passing"
"2531","456","4","Amazon Linewoman Strength"
"2532","457","2","Amazon Thrower Agility"
"2533","457","4","Amazon Thrower Strength"
"2534","458","3","Amazon Catcher Passing"
"2535","458","4","Amazon Catcher Strength"
"2536","459","2","Amazon Blitzer Agility"
"2537","459","3","Amazon Blitzer Passing"
"2538","460","2",""
"2539","460","3",""
"2540","460","4",""
"2541","461","2",""
"2542","461","3",""
"2543","462","2",""
"2544","462","4",""
"2545","463","1",""
"2546","463","3",""
"2547","463","4",""
"2548","464","2",""
"2549","464","3",""
"2550","465","1",""
"2551","465","2",""
"2552","465","3",""
"2553","466","1",""
"2554","466","3",""
"2555","466","4",""
"2556","467","1",""
"2557","467","3",""
"2558","467","4",""
"2559","468","1",""
"2560","468","3",""
"2561","468","4",""
"2562","469","1","Goblin Bombardier General"
"2563","469","3","Goblin Bombardier Passing"
"2564","469","4","Goblin Bombardier Strength"
"2565","470","2",""
"2566","470","1",""
"2567","470","3",""
"2568","471","1",""
"2569","471","2",""
"2570","471","3",""
"2571","472","1","Lizardman Skink General"
"2572","472","3","Lizardman Skink Passing"
"2573","472","4","Lizardman Skink Strength"
"2574","473","2","Lizardman Saurus Agility"
"2575","473","3","Lizardman Saurus Passing"
"2576","474","1","Lizardman Kroxigor General"
"2577","474","2","Lizardman Kroxigor Agility"
"2578","474","3","Lizardman Kroxigor Passing"
"2579","475","1","Ogre Ogre General"
"2580","475","2","Ogre Ogre Agility"
"2581","475","3","Ogre Ogre Passing"
"2582","476","1","Ogre Snotling General"
"2583","476","3","Ogre Snotling Passing"
"2584","476","4","Ogre Snotling Strength"
"2585","477","1","Ogre Ogre General"
"2586","477","2","Ogre Ogre Agility"
"2587","477","3","Ogre Ogre Passing"
"2588","478","1","Ogre Snotling General"
"2589","478","3","Ogre Snotling Passing"
"2590","478","4","Ogre Snotling Strength"
"2591","479","1",""
"2592","479","3",""
"2593","479","4",""
"2594","480","1","Goblin Bombardier General"
"2595","480","3","Goblin Bombardier Passing"
"2596","480","4","Goblin Bombardier Strength"
"2597","481","1",""
"2598","481","3",""
"2599","481","4",""
"2600","482","1",""
"2601","482","3",""
"2602","482","4",""
"2603","483","2",""
"2604","483","1",""
"2605","483","3",""
"2606","484","1",""
"2607","484","2",""
"2608","484","3",""
"2609","485","1","Halfling Halfling General"
"2610","485","4","Halfling Halfling Strength"
"2611","485","3","Hafling Halfling Passing"
"2612","486","2","Hafling Treeman Agility"
"2613","486","1","Hafling Treeman General"
"2614","486","3","Hafling Treeman Passing"
"2615","492","2","Undead Skeleton Agility"
"2616","492","4","Undead Skeleton Strength"
"2617","492","3","Undead Skeleton Passing"
"2618","493","2","Undead Zombie Agility"
"2619","493","4","Undead Zombie Strength"
"2620","493","3","Undead Zombie Passing"
"2621","494","4","Undead Ghoul Strength"
"2622","494","3","Undead Ghoul Passing"
"2623","495","2","Undead Wright Agility"
"2624","495","3","Undead Wright Passing"
"2625","496","1","Undead Mummy General"
"2626","496","2","Undead Mummy Agility"
"2627","496","3","Undead Mummy Passing"
"2628","497","3","Necromantic Werewolf Passing"
"2629","497","4","Necromantic Werewolf Strength"
"2630","498","2","Necromantic Flesh Golem Agility"
"2631","498","3","Necromantic Flesh Golem Passing"
"2632","499","2","Khemri Skeleton Agility"
"2633","499","3","Khemri Skeleton Passing"
"2634","499","4","Khemri Skeleton Strength"
"2635","500","2","Khemri Thro-Ra Agility"
"2636","500","4","Khemri Thro-Ra Strength"
"2637","501","2","Khemri Blitz-Ra Agility"
"2638","501","3","Khemri Blitz-Ra Passing"
"2639","502","1","Khemri Tomb Guardian General"
"2640","502","2","Khemri Tomb Guardian Agility"
"2641","502","3","Khemri Tomb Guardian Passing"
"2642","503","2","Vampire Thrall Agility"
"2643","503","3","Vampire Thrall Passing"
"2644","503","4","Vampire Thrall Strength"
"2645","504","3","Vampire Vampire Passing"
"2647","749","3","Pro Elf Catcher Passing"
"2648","749","4","Pro Elf  Catcher Strength"
