"ID","French","English","Italian","German","Russian","Spanish","LatAm","Czech","Hungarian","Polish","IdPlayerNameTypes","Part"
"143","Gerhart","Gerhart","Gerhart","Gerhart","Герхарт","Gerhart","Gerhart","Gerhart","Gerhart","Gerhart","1","1"
"144","Hildred","Hildred","Hildred","Hildred","Хильдред","Hildred","Hildred","Hildred","Hildred","Hildred","1","1"
"145","Meinholf","Meinholf","Meinholf","Meinholf","Мейнхольф","Meinholf","Meinholf","Meinholf","Meinholf","Meinholf","1","1"
"146","Admund","Admund","Admund","Admund","Эдмунд","Admund","Admund","Admund","Admund","Admund","1","1"
"147","Arnulf","Arnulf","Arnulf","Arnulf","Арнольф","Arnulf","Arnulf","Arnulf","Arnulf","Arnulf","1","1"
"148","Gunther","Gunther","Gunther","Gunther","Гюнтер","Gunther","Gunther","Gunther","Gunther","Gunther","1","1"
"149","Detlef","Detlef","Detlef","Detlef","Детлеф","Detlef","Detlef","Detlef","Detlef","Detlef","1","1"
"150","Eomund","Eomund","Eomund","Eomund","Эомунд","Eomund","Eomund","Eomund","Eomund","Eomund","1","1"
"151","Harkot","Harkot","Harkot","Harkot","Харкот","Harkot","Harkot","Harkot","Harkot","Harkot","1","1"
"152","Jekil","Jekil","Jekil","Jekil","Джекил","Jekil","Jekil","Jekil","Jekil","Jekil","1","1"
"153","Edwin","Edwin","Edwin","Edwin","Эдвин","Edwin","Edwin","Edwin","Edwin","Edwin","1","1"
"154","Gordon","Gordon","Gordon","Gordon","Гордон","Gordon","Gordon","Gordon","Gordon","Gordon","1","1"
"155","Grant","Grant","Grant","Grant","Грант","Grant","Grant","Grant","Grant","Grant","1","1"
"156","Harold","Harold","Harold","Harold","Гарольд","Harold","Harold","Harold","Harold","Harold","1","1"
"157","Jorg","Jorg","Jorg","Jörg","Йорг","Jorg","Jorg","Jorg","Jorg","Jorg","1","1"
"158","Tristan","Tristan","Tristan","Tristan","Тристан","Tristan","Tristan","Tristan","Tristan","Tristan","3","1"
"159","Eber","Eber","Eber","Eber","Эбер","Eber","Eber","Eber","Eber","Eber","3","1"
"160","Galahad","Galahad","Galahad","Galahad","Галахад","Galahad","Galahad","Galahad","Galahad","Galahad","3","1"
"161","Emil","Emil","Emil","Emil","Эмиль","Emil","Emil","Emil","Emil","Emil","3","1"
"162","Eodred","Eodred","Eodred","Eodred","Эодред","Eodred","Eodred","Eodred","Eodred","Eodred","3","1"
"163","Bohort","Bohort","Bohort","Bohort","Борс","Bohort","Bohort","Bohort","Bohort","Bohort","3","1"
"164","Calogrenant","Calogrenant","Calogrenant","Calogrenant","Калогренант","Calogrenant","Calogrenant","Calogrenant","Calogrenant","Calogrenant","3","1"
"165","Dietmar","Dietmar","Dietmar","Dietmar","Дитмар","Dietmar","Dietmar","Dietmar","Dietmar","Dietmar","3","1"
"166","Dagonet","Dagonet","Dagonet","Dagonet","Дагонет","Dagonet","Dagonet","Dagonet","Dagonet","Dagonet","3","1"
"167","Otto","Otto","Otto","Otto","Отто","Otto","Otto","Otto","Otto","Otto","3","1"
"168","Hans","Hans","Hans","Hans","Ганс","Hans","Hans","Hans","Hans","Hans","3","1"
"169","Manfred","Manfred","Manfred","Manfred","Манфред","Manfred","Manfred","Manfred","Manfred","Manfred","3","1"
"170","Gawain","Gawain","Gawain","Gawain","Гавейн","Gawain","Gawain","Gawain","Gawain","Gawain","3","1"
"171","Geraint","Geraint","Geraint","Geraint","Герант","Geraint","Geraint","Geraint","Geraint","Geraint","3","1"
"172","Dieter","Dieter","Dieter","Dieter","Дитер","Dieter","Dieter","Dieter","Dieter","Dieter","3","1"
"173","Arne","Arne","Arne","Arne","Арне","Arne","Arne","Arne","Arne","Arne","3","1"
"174","Bertolf","Bertolf","Bertolf","Bertolf","Бертольф","Bertolf","Bertolf","Bertolf","Bertolf","Bertolf","3","1"
"175","Hildred","Hildred","Hildred","Hildred","Хильдред","Hildred","Hildred","Hildred","Hildred","Hildred","3","1"
"176","Hans","Hans","Hans","Hans","Ганс","Hans","Hans","Hans","Hans","Hans","3","1"
"177","Goran","Goran","Goran","Goran","Горан","Goran","Goran","Goran","Goran","Goran","3","1"
"178","Alaric","Alaric","Alaric","Alaric","Аларик","Alaric","Alaric","Alaric","Alaric","Alaric","3","1"
"179","Perceval","Perceval","Perceval","Parzival","Персиваль","Perceval","Perceval","Perceval","Perceval","Perceval","3","1"
"180","Meinholf","Meinholf","Meinholf","Meinholf","Мейнхольф","Meinholf","Meinholf","Meinholf","Meinholf","Meinholf","3","1"
"181","Helmut","Helmut","Helmut","Helmut","Гельмут","Helmut","Helmut","Helmut","Helmut","Helmut","3","1"
"182","Uther","Uther","Uther","Uther","Утер","Uther","Uther","Uther","Uther","Uther","3","1"
"183"," Luitpold"," Luitpold"," Luitpold"," Luitpold","Луитпольд"," Luitpold"," Luitpold"," Luitpold"," Luitpold"," Luitpold","3","2"
"184"," Rainer"," Rainer"," Rainer"," Rainer","Райнер"," Rainer"," Rainer"," Rainer"," Rainer"," Rainer","3","2"
"185"," Filibert"," Filibert"," Filibert"," Filibert","Филиберт"," Filibert"," Filibert"," Filibert"," Filibert"," Filibert","3","2"
"186"," Meinard"," Meinard"," Meinard"," Meinard","Мейнард"," Meinard"," Meinard"," Meinard"," Meinard"," Meinard","3","2"
"187"," Sören"," Sören"," Sören"," Sören"," Сорен"," Sören"," Sören"," Sören"," Sören"," Sören","3","2"
"188"," Geert"," Geert"," Geert"," Geert"," Геерт"," Geert"," Geert"," Geert"," Geert"," Geert","3","2"
"189"," Rudi"," Rudi"," Rudi"," Rudi"," Руди"," Rudi"," Rudi"," Rudi"," Rudi"," Rudi","3","2"
"190"," Alban"," Alban"," Alban"," Alban"," Альбан"," Alban"," Alban"," Alban"," Alban"," Alban","3","2"
"192"," Seppel"," Seppel"," Seppel"," Seppel"," Сеппель"," Seppel"," Seppel"," Seppel"," Seppel"," Seppel","3","2"
"193"," Huppert"," Huppert"," Huppert"," Huppert"," Гуперт"," Huppert"," Huppert"," Huppert"," Huppert"," Huppert","3","2"
"194"," Hartmut"," Hartmut"," Hartmut"," Hartmut"," Хартмут"," Hartmut"," Hartmut"," Hartmut"," Hartmut"," Hartmut","3","2"
"195"," Frej"," Frej"," Frej"," Frej"," Фрей"," Frej"," Frej"," Frej"," Frej"," Frej","3","2"
"196"," Gottlob"," Gottlob"," Gottlob"," Gottlob"," Готтлоб"," Gottlob"," Gottlob"," Gottlob"," Gottlob"," Gottlob","3","2"
"197"," Stephan"," Stephan"," Stephan"," Stephan"," Стефан"," Stephan"," Stephan"," Stephan"," Stephan"," Stephan","3","2"
"198"," Kayetan"," Kayetan"," Kayetan"," Kayetan"," Каетан"," Kayetan"," Kayetan"," Kayetan"," Kayetan"," Kayetan","3","2"
"199"," Wilfried"," Wilfried"," Wilfried"," Wilfried"," Вильфред"," Wilfried"," Wilfried"," Wilfried"," Wilfried"," Wilfried","3","2"
"200"," Rolf"," Rolf"," Rolf"," Rolf"," Рольф"," Rolf"," Rolf"," Rolf"," Rolf"," Rolf","3","2"
"202"," Lamprecht"," Lamprecht"," Lamprecht"," Lamprecht"," Лампрехт"," Lamprecht"," Lamprecht"," Lamprecht"," Lamprecht"," Lamprecht","3","2"
"203"," Wendel"," Wendel"," Wendel"," Wendel"," Вендель"," Wendel"," Wendel"," Wendel"," Wendel"," Wendel","3","2"
"204","Borgrut","Borgrut","Borgrut","Borgrut","Боргрут","Borgrut","Borgrut","Borgrut","Borgrut","Borgrut","4","1"
"205","Dozagg","Dozagg","Dozagg","Dozagg","Дозагг","Dozagg","Dozagg","Dozagg","Dozagg","Dozagg","4","1"
"206","Yeregg","Yeregg","Yeregg","Yeregg","Йерегг","Yeregg","Yeregg","Yeregg","Yeregg","Yeregg","4","1"
"207","Voggott","Voggott","Voggott","Voggott","Воггот","Voggott","Voggott","Voggott","Voggott","Voggott","4","1"
"208","Lurtt","Lurtt","Lurtt","Lurtt","Лурт","Lurtt","Lurtt","Lurtt","Lurtt","Lurtt","4","1"
"209","Murgg","Murgg","Murgg","Murgg","Мургг","Murgg","Murgg","Murgg","Murgg","Murgg","4","1"
"210","Aggrut","Aggrut","Aggrut","Aggrut","Аггрут","Aggrut","Aggrut","Aggrut","Aggrut","Aggrut","4","1"
"211","Berott","Berott","Berott","Berott","Беротт","Berott","Berott","Berott","Berott","Berott","4","1"
"212","Gergg","Gergg","Gergg","Gergg","Гергг","Gergg","Gergg","Gergg","Gergg","Gergg","4","1"
"213","Dagg","Dagg","Dagg","Dagg","Дагг","Dagg","Dagg","Dagg","Dagg","Dagg","4","1"
"214","Razz","Razz","Razz","Razz","Разз","Razz","Razz","Razz","Razz","Razz","4","1"
"215","Krashek","Krashek","Krashek","Krashek","Крашек","Krashek","Krashek","Krashek","Krashek","Krashek","4","1"
"216","Fuggz","Fuggz","Fuggz","Fuggz","Фуггз","Fuggz","Fuggz","Fuggz","Fuggz","Fuggz","4","1"
"217","Skrag","Skrag","Skrag","Skrag","Скраг","Skrag","Skrag","Skrag","Skrag","Skrag","4","1"
"218","Vulgott","Vulgott","Vulgott","Vulgott","Валготт","Vulgott","Vulgott","Vulgott","Vulgott","Vulgott","4","1"
"219"," Casse-Crâne"," Head-Splitter"," Spaccateste"," Schädelquetscher"," Бошколом"," Cortacabezas"," Cortacabezas"," Lebkodrť","Koponyalékelő"," Wyrwiłeb","4","2"
"220"," Fracasse-Os"," Bone-Chewer"," Succhiaossa"," Knochenkauer"," Костегрыз"," Masticahuesos"," Masticahuesos"," Kostijed","Csontnyűvő"," Kościożuj","4","2"
"221"," Déchire-Peau"," Skin-Tearer"," Scuoiatore"," Hautschürfer"," Свежеватель"," Rajapellejos"," Rajapellejos"," Skalpovač","Bőrhántó"," Skórorwij","4","2"
"222"," Crache-Entraille"," Gut-Spitter"," Sbudellatore"," Darmspucker"," Потрошитель"," Sacatripas"," Sacatripas"," Vyhřezávač","Zsigernyálzó"," Flakorwij","4","2"
"223"," Détache-Tête"," Head-Wrencher"," Strappateste"," Schädelrammer"," Секир-башка"," Retuercecabezas"," Retuercecabezas"," Hlavotrhač","Nyaktekerő"," Miażdżyłeb","4","2"
"224"," Brise-Genou"," Knee-Capper"," Gambizzatore"," Kniebrecher"," Вырвиног"," Romperrodillas"," Romperrodillas"," Kolenovrt","Térdzúzó"," Kolanogniot","4","2"
"225"," Ecrase-Face"," Face-Pounder"," Maciullafacce"," Augenstecher"," Мордобой"," Machacacaras"," Machacacaras"," Hlavobijec","Pofánverő"," Szczękołam","4","2"
"226"," Ouvre-Trippes"," Belly-Opener"," Apripance"," Bauchweider"," Живодер"," Abrebarrigas"," Abrebarrigas"," Rozparovač","Hasfelmetsző"," Brzuchotnij","4","2"
"227"," Mange-Homme"," Man-Eater"," Mangiauomini"," Menschenfresser"," Людоед"," Caníbal"," Caníbal"," Lidožrout","Emberevő"," Ludziożerca","4","2"
"228"," Coupe-Gorge"," Throat-Cutter"," Tagliagole"," Gurgelschlitzer"," Пасть-порву"," Cortacuellos"," Cortacuellos"," Hrdlořez","Torokhasító"," Gardłotnij","4","2"
"229"," Tranch-Nain"," Dwarf-Slasher"," Ammazzanani"," Zwergschläger"," Гномобой"," Rajaenanos"," Rajaenanos"," Trpasbij","Törpeaprító"," Krasnalobójca","4","2"
"230"," Percute-Nez"," Nose-Flattener"," Spaccanasi"," Nasendrücker"," Оплеуха"," Aplastanarices"," Aplastanarices"," Nosomlat","Orrlapító"," Nosogniot","4","2"
"231"," Découpe-Bras"," Arm-Dislocator"," Slogabraccia"," Armreißer"," Руколом"," Dislocabrazos"," Dislocabrazos"," Ramenotrh","Karrándító"," Rękołam","4","2"
"232","Broie","Brash","Brash","Brash","Фу","Brash","Brash","Brash","Brash","Brash","5","1"
"233","Cri","Cry","Cry","Cri","Рев","Cry","Cry","Ker","Cry","Cry","5","1"
"234","Tra","Tra","Tra","Tra","Тра","Tra","Tra","Tra","Tra","Tra","5","1"
"235","Best","Best","Best","Best","Крут","Best","Best","Best","Best","Best","5","1"
"236","Gran","Gran","Gran","Gran","Гран","Gran","Gran","Gran","Gran","Gran","5","1"
"237","War","War","War","War","Бой","War","War","War","War","War","5","1"
"238","Bris","Bris","Bris","Bris","Брис","Bris","Bris","Bris","Bris","Bris","5","1"
"239","Cra","Cra","Cra","Cra","Кра","Cra","Cra","Cra","Cra","Cra","5","1"
"240","Mach","Mash","Mash","Mash","Грязь","Mash","Mash","Mash","Mash","Mash","5","1"
"241","Tranch","Slash","Slash","Schlitz","Бич","Slash","Slash","Rozsek","Slash","Slash","5","1"
"242","Craz","Craz","Craz","Craz","Шиз","Craz","Craz","Craz","Craz","Craz","5","1"
"243","San","San","San","San","Сан","San","San","San","San","San","5","1"
"244","Ul","Ul","Ul","Ul","Ул","Ul","Ul","Ul","Ul","Ul","5","1"
"245","Mi","Mi","Mi","Mi","Ми","Mi","Mi","Mi","Mi","Mi","5","1"
"246","Spra","Spra","Spra","Spra","Спра","Spra","Spra","Spra","Spra","Spra","5","1"
"247","Spra","Spra","Spra","Spra","Спра","Spra","Spra","Spra","Spra","Spra","5","1"
"248","Wal","Wal","Wal","Wal","Воль","Wal","Wal","Wal","Wal","Wal","5","1"
"249","Far","Far","Far","Far","Фар","Far","Far","Far","Far","Far","5","1"
"250","Fra","Fra","Fra","Fra","Фра","Fra","Fra","Fra","Fra","Fra","5","1"
"251","Ma","Ma","Ma","Ma","Ма","Ma","Ma","Ma","Ma","Ma","5","1"
"252","Gra","Gra","Gra","Gra","Гра","Gra","Gra","Gra","Gra","Gra","5","1"
"253","Pi","Pi","Pi","Pi","Пи","Pi","Pi","Pi","Pi","Pi","5","1"
"254","Pa","Pa","Pa","Pa","Па","Pa","Pa","Pa","Pa","Pa","5","1"
"255","Py","Py","Py","Py","Пи","Py","Py","Py","Py","Py","5","1"
"256","My","My","My","My","Ми","My","My","My","My","My","5","1"
"257","Mu","Mu","Mu","Mu","Ма","Mu","Mu","Mu","Mu","Mu","5","1"
"258","Ra","Ra","Ra","Ra","Ра","Ra","Ra","Ra","Ra","Ra","5","1"
"259","Ri","Ri","Ri","Ri","Ри","Ri","Ri","Ri","Ri","Ri","5","1"
"260","Ro","Ro","Ro","Ro","Ро","Ro","Ro","Ro","Ro","Ro","5","1"
"261","Ta","Ta","Ta","Ta","Та","Ta","Ta","Ta","Ta","Ta","5","1"
"262","La","La","La","La","Ла","La","La","La","La","La","5","1"
"263","Ty","Ty","Ty","Ty","Ти","Ty","Ty","Ty","Ty","Ty","5","1"
"264","To","To","To","To","То","To","To","To","To","To","5","1"
"265","Ly","Ly","Ly","Ly","Ли","Ly","Ly","Ly","Ly","Ly","5","1"
"266","Kras","Kras","Kras","Kras","Крас","Kras","Kras","Kras","Kras","Kras","5","1"
"267","Mras","Mras","Mras","Mras","Мрас","Mras","Mras","Mras","Mras","Mras","5","1"
"268","Thish","Thish","Thish","Thish","Тиш","Thish","Thish","Thish","Thish","Thish","5","1"
"269","Tro","Tro","Tro","Tro","Тро","Tro","Tro","Tro","Tro","Tro","5","1"
"270","Gish","Gish","Gish","Gish","Гиш","Gish","Gish","Gish","Gish","Gish","5","1"
"271","gor","gor","gor","gor","гор","gor","gor","gor","gor","gor","5","2"
"272","gors","gors","gors","gors","горс","gors","gors","gors","gors","gors","5","2"
"273","-gor","-gor","-gor","-gor","-гор","-gor","-gor","-gor","-gor","-gor","5","2"
"274","'gor","'gor","'gor","'gor","'гор","'gor","'gor","'gor","'gor","'gor","5","2"
"275","-gors","-gors","-gors","-gors","-горс","-gors","-gors","-gors","-gors","-gors","5","2"
"276","'gors","'gors","'gors","'gors","'горс","'gors","'gors","'gors","'gors","'gors","5","2"
"277","nogor","nogor","nogor","nogor","ногор","nogor","nogor","nogor","nogor","nogor","5","2"
"278","nogors","nogors","nogors","nogors","ногорс","nogors","nogors","nogors","nogors","nogors","5","2"
"279","-nogor","-nogor","-nogor","-nogor","-ногор","-nogor","-nogor","-nogor","-nogor","-nogor","5","2"
"280","-nogors","-nogors","-nogors","-nogors","-ногорс","-nogors","-nogors","-nogors","-nogors","-nogors","5","2"
"281","'nogors","'nogors","'nogors","'nogors","'ногорс","'nogors","'nogors","'nogors","'nogors","'nogors","5","2"
"282","'nogor","'nogor","'nogor","'nogor","'ногор","'nogor","'nogor","'nogor","'nogor","'nogor","5","2"
"283","tigor","tigor","tigor","tigor","тигор","tigor","tigor","tigor","tigor","tigor","5","2"
"284","tigors","tigors","tigors","tigors","тигорс","tigors","tigors","tigors","tigors","tigors","5","2"
"285","-tigor","-tigor","-tigor","-tigor","-тигор","-tigor","-tigor","-tigor","-tigor","-tigor","5","2"
"286","-tigors","-tigors","-tigors","-tigors","-тигорс","-tigors","-tigors","-tigors","-tigors","-tigors","5","2"
"287","'tigor","'tigor","'tigor","'tigor","'тигор","'tigor","'tigor","'tigor","'tigor","'tigor","5","2"
"288","'tigors","'tigors","'tigors","'tigors","'тигорс","'tigors","'tigors","'tigors","'tigors","'tigors","5","2"
"289","fagor","fagor","fagor","fagor","фагор","fagor","fagor","fagor","fagor","fagor","5","2"
