"ID","English","French","Italian","German","Russian","Spanish","Czech","Hungarian","Polish"
"53","Mras'mulgors","Mras'mulgors","Mras'mulgors","Mras'mulgors","Мрас'мулгорс","Mras'mulgors","Mras'mulgors","Mras'mulgors","Mras'mulgors"
"54","Grafagors","Grafagors","Grafagors","Grafagors","Графагорс","Grafagors","Grafagors","Grafagors","Grafagors"
"55","Pytigors","Pytigors","Pytigors","Pytigors","Питигорс","Pytigors","Pytigors","Pytigors","Pytigors"
"58","Hysh Neth Ghurk","Hysh Neth Ghurk","Hysh Neth Ghurk","Hysh Neth Ghurk","Хиш Нет Гурк","Hysh Neth Ghurk","Hysh Neth Ghurk","Hysh Neth Ghurk","Hysh Neth Ghurk"
"59","Dhaos Taos Luy'y","Dhaos Taos Luy'y","Dhaos Taos Luy'y","Dhaos Taos Luy'y","Даос Таос Луи'и","Dhaos Taos Luy'y","Dhaos Taos Luy'y","Dhaos Taos Luy'y","Dhaos Taos Luy'y"
"60","Zeztorg","Zeztorg","Zeztorg","Zeztorg","Зезторг","Zeztorg","Zeztorg","Zeztorg","Zeztorg"
"61","Ma'mulgor","Ma'mulgor","Ma'mulgor","Ma'mulgor","Ма'мулгор","Ma'mulgor","Ma'mulgor","Ma'mulgor","Ma'mulgor"
"62","Pi'fagor","Pi'fagor","Pi'fagor","Pi'fagor","Пи'фагор","Pi'fagor","Pi'fagor","Pi'fagor","Pi'fagor"
"63","Mash'gor","Mash'gor","Mash'gor","Mash'gor","Грязь'гор","Mash'gor","Mash'gor","Mash'gor","Mash'gor"
"64","Tymulgor","Tymulgor","Tymulgor","Tymulgor","Тимулгор","Tymulgor","Tymulgor","Tymulgor","Tymulgor"
"65","Gra'tigors","Gra'tigors","Gra'tigors","Gra'tigors","Гра'тигорс","Gra'tigors","Gra'tigors","Gra'tigors","Gra'tigors"
"66","Walnogor","Walnogor","Walnogor","Walnogor","Вольногор","Walnogor","Walnogor","Walnogor","Walnogor"
"67","Tranch-tigor","Tranch-tigor","Tranch-tigor","Tranch-tigor","Транч-тигор","Tranch-tigor","Tranch-tigor","Tranch-tigor","Tranch-tigor"
"68","Kras-tigor","Kras-tigor","Kras-tigor","Kras-tigor","Крас-тигор","Kras-tigor","Kras-tigor","Kras-tigor","Kras-tigor"
"69","Tratigors","Tratigors","Tratigors","Tratigors","Тратигорс","Tratigors","Tratigors","Tratigors","Tratigors"
"70","Tranch-gors","Tranch-gors","Tranch-gors","Tranch-gors","Транч-горс","Tranch-gors","Tranch-gors","Tranch-gors","Tranch-gors"
"71","Hoaotl","Hoaotl","Hoaotl","Hoaotl","Хоаотл","Hoaotl","Hoaotl","Hoaotl","Hoaotl"
"72","Klitzuitz","Klitzuitz","Klitzuitz","Klitzuitz","Клитсуиц","Klitzuitz","Klitzuitz","Klitzuitz","Klitzuitz"
"73","Carnoltz","Carnoltz","Carnoltz","Carnoltz","Карнолц","Carnoltz","Carnoltz","Carnoltz","Carnoltz"
"74","Xhoqai","Xhoqai","Xhoqai","Xhoqai","Ксоквай","Xhoqai","Xhoqai","Xhoqai","Xhoqai"
"75","Tyrateinq","Tyrateinq","Tyrateinq","Tyrateinq","Тиратейнк","Tyrateinq","Tyrateinq","Tyrateinq","Tyrateinq"
"76","Zlatmitl","Zlatmitl","Zlatmitl","Zlatmitl","Златмитл","Zlatmitl","Zlatmitl","Zlatmitl","Zlatmitl"
"77","Xhotec","Xhotec","Xhotec","Xhotec","Ксотек","Xhotec","Xhotec","Xhotec","Xhotec"
"78","Tehelashi","Tehelashi","Tehelashi","Tehelashi","Тегелаши","Tehelashi","Tehelashi","Tehelashi","Tehelashi"
"79","Goqzh","Goqzh","Goqzh","Goqzh","Гокж","Goqzh","Goqzh","Goqzh","Goqzh"
"80","Tlanqai","Tlanqai","Tlanqai","Tlanqai","Тланквай","Tlanqai","Tlanqai","Tlanqai","Tlanqai"
"81","Boqitz","Boqitz","Boqitz","Boqitz","Бокиц","Boqitz","Boqitz","Boqitz","Boqitz"
"82","Klitztec","Klitztec","Klitztec","Klitztec","Клитстек","Klitztec","Klitztec","Klitztec","Klitztec"
"83","Uldateinq","Uldateinq","Uldateinq","Uldateinq","Улдатейнк","Uldateinq","Uldateinq","Uldateinq","Uldateinq"
"84","Krocatl","Krocatl","Krocatl","Krocatl","Крокатл","Krocatl","Krocatl","Krocatl","Krocatl"
"85","Kroqhutec","Kroqhutec","Kroqhutec","Kroqhutec","Крокгутек","Kroqhutec","Kroqhutec","Kroqhutec","Kroqhutec"
"86","Utakuit","Utakuit","Utakuit","Utakuit","Утакуит","Utakuit","Utakuit","Utakuit","Utakuit"
"87","Chaqteu-hi","Chaqteu-hi","Chaqteu-hi","Chaqteu-hi","Чактей-Хи","Chaqteu-hi","Chaqteu-hi","Chaqteu-hi","Chaqteu-hi"
"88","Gorlt","Gorlt","Gorlt","Gorlt","Горлт","Gorlt","Gorlt","Gorlt","Gorlt"
"89","Boquitz","Boquitz","Boquitz","Boquitz","Бокуиц","Boquitz","Boquitz","Boquitz","Boquitz"
"90","Oyyolt","Oyyolt","Oyyolt","Oyyolt","Оййолт","Oyyolt","Oyyolt","Oyyolt","Oyyolt"
"91","Tehejah","Tehejah","Tehejah","Tehejah","Тегеджа","Tehejah","Tehejah","Tehejah","Tehejah"
"92","Iztmatz","Iztmatz","Iztmatz","Iztmatz","Изтмац","Iztmatz","Iztmatz","Iztmatz","Iztmatz"
"93","Kaihix","Kaihix","Kaihix","Kaihix","Кайхикс","Kaihix","Kaihix","Kaihix","Kaihix"
"94","Otzsor","Otzsor","Otzsor","Otzsor","Отцсор","Otzsor","Otzsor","Otzsor","Otzsor"
"95","Tehezoalt","Tehezoalt","Tehezoalt","Tehezoalt","Тегезоатль","Tehezoalt","Tehezoalt","Tehezoalt","Tehezoalt"
"96","Xhopek","Xhopek","Xhopek","Xhopek","Ксопек","Xhopek","Xhopek","Xhopek","Xhopek"
"97","Thanwin","Thanwin","Thanwin","Thanwin","Танвин","Thanwin","Thanwin","Thanwin","Thanwin"
"98","Athirel","Athirel","Athirel","Athirel","Атирэль","Athirel","Athirel","Athirel","Athirel"
"99","Diloth","Diloth","Diloth","Diloth","Дилот","Diloth","Diloth","Diloth","Diloth"
"100","Darendil","Darendil","Darendil","Darendil","Дарендиль","Darendil","Darendil","Darendil","Darendil"
"101","Dar Selathoi","Dar Selathoi","Dar Selathoi","Dar Selathoi","Дар Селатои","Dar Selathoi","Dar Selathoi","Dar Selathoi","Dar Selathoi"
"102","Felfin","Felfin","Felfin","Felfin","Фелфин","Felfin","Felfin","Felfin","Felfin"
"103","Dorirlan","Dorirlan","Dorirlan","Dorirlan","Дорирлан","Dorirlan","Dorirlan","Dorirlan","Dorirlan"
"104","Deh Talu","Deh Talu","Deh Talu","Deh Talu","Де Талу","Deh Talu","Deh Talu","Deh Talu","Deh Talu"
"105","Dilirel","Dilirel","Dilirel","Dilirel","Дилирэль","Dilirel","Dilirel","Dilirel","Dilirel"
"106","Ethilien","Ethilien","Ethilien","Ethilien","Этилиэн","Ethilien","Ethilien","Ethilien","Ethilien"
"107","Elwin","Elwin","Elwin","Elwin","Эльвин","Elwin","Elwin","Elwin","Elwin"
"110","Ohtacár'loren","Ohtacár'loren","Ohtacár'loren","Ohtacár'loren","Охтакар'лорен","Ohtacár'loren","Ohtacár'loren","Ohtacár'loren","Ohtacár'loren"
"111","Farund","Farund","Farund","Farund","Фарунд","Farund","Farund","Farund","Farund"
"112","Lothrond","Lothrond","Lothrond","Lothrond","Лотронд","Lothrond","Lothrond","Lothrond","Lothrond"
"113","Hiranwe","Hiranwe","Hiranwe","Hiranwe","Хиранве","Hiranwe","Hiranwe","Hiranwe","Hiranwe"
"114","Githendil","Githendil","Githendil","Githendil","Гитэндиль","Githendil","Githendil","Githendil","Githendil"
"115","Felhuir","Felhuir","Felhuir","Felhuir","Фелуир","Felhuir","Felhuir","Felhuir","Felhuir"
"116","Coëhuir","Coëhuir","Coëhuir","Coëhuir","Коуир","Coëhuir","Coëhuir","Coëhuir","Coëhuir"
"117","Dehmar","Dehmar","Dehmar","Dehmar","Дехмар","Dehmar","Dehmar","Dehmar","Dehmar"
"118","Hirlun","Hirlun","Hirlun","Hirlun","Хирлан","Hirlun","Hirlun","Hirlun","Hirlun"
"119","Fy Sehenlu","Fy Sehenlu","Fy Sehenlu","Fy Sehenlu","Фи Сегенлу","Fy Sehenlu","Fy Sehenlu","Fy Sehenlu","Fy Sehenlu"
"120","Tor Nymraif","Tor Nymraif","Tor Nymraif","Tor Nymraif","Тор Нимраиф","Tor Nymraif","Tor Nymraif","Tor Nymraif","Tor Nymraif"
"123","Gronti Thagi-Troll","Gronti Thagi-Troll","Gronti Thagi-Troll","Gronti Thagi-Troll","Гронти Таги-Тролль","Gronti Thagi-Troll","Gronti Thagi-Troll","Gronti Thagi-Troll","Gronti Thagi-Troll"
"124","Tharskin","Tharskin","Tharskin","Tharskin","Тарскин","Tharskin","Tharskin","Tharskin","Tharskin"
"125","Zamatrek","Zamatrek","Zamatrek","Zamatrek","Заматрек","Zamatrek","Zamatrek","Zamatrek","Zamatrek"
"126","Bokdrin","Bokdrin","Bokdrin","Bokdrin","Бокдрин","Bokdrin","Bokdrin","Bokdrin","Bokdrin"
"127","Beldil","Beldil","Beldil","Beldil","Белдил","Beldil","Beldil","Beldil","Beldil"
"128","Borgraz Arkin-troll","Borgraz Arkin-troll","Borgraz Arkin-troll","Borgraz Arkin-troll","Борграз Аркин-Тролль","Borgraz Arkin-troll","Borgraz Arkin-troll","Borgraz Arkin-troll","Borgraz Arkin-troll"
"129","Throndrin","Throndrin","Throndrin","Throndrin","Трондрин","Throndrin","Throndrin","Throndrin","Throndrin"
"130","Olfmir","Olfmir","Olfmir","Olfmir","Олфмир","Olfmir","Olfmir","Olfmir","Olfmir"
"131","Skargni","Skargni","Skargni","Skargni","Шрамни","Skargni","Skargni","Skargni","Skargni"
"132","Fimagor","Fimagor","Fimagor","Fimagor","Фимагор","Fimagor","Fimagor","Fimagor","Fimagor"
"133","Dugraz","Dugraz","Dugraz","Dugraz","Даграз","Dugraz","Dugraz","Dugraz","Dugraz"
"136","Loklok","Loklok","Loklok","Loklok","Локлок","Loklok","Loklok","Loklok","Loklok"
"137","Ullagrom","Ullagrom","Ullagrom","Ullagrom","Уллагром","Ullagrom","Ullagrom","Ullagrom","Ullagrom"
"138","Furgroth","Furgroth","Furgroth","Furgroth","Фаргрот","Furgroth","Furgroth","Furgroth","Furgroth"
"139","Kazgund","Kazgund","Kazgund","Kazgund","Казгунд","Kazgund","Kazgund","Kazgund","Kazgund"
"140","Urklin","Urklin","Urklin","Urklin","Урклин","Urklin","Urklin","Urklin","Urklin"
"141","Krag Kaz-Troll","Krag Kaz-Troll","Krag Kaz-Troll","Krag Kaz-Troll","Краг Каз-Тролль","Krag Kaz-Troll","Krag Kaz-Troll","Krag Kaz-Troll","Krag Kaz-Troll"
"142","Kraund","Kraund","Kraund","Kraund","Краунд","Kraund","Kraund","Kraund","Kraund"
"143","Skarak","Skarak","Skarak","Skarak","Шрамак","Skarak","Skarak","Skarak","Skarak"
"144","Varrik","Varrik","Varrik","Varrik","Варрик","Varrik","Varrik","Varrik","Varrik"
"145","Zornlin","Zornlin","Zornlin","Zornlin","Зорнлин","Zornlin","Zornlin","Zornlin","Zornlin"
"146","Zarkuk","Zarkuk","Zarkuk","Zarkuk","Заркук","Zarkuk","Zarkuk","Zarkuk","Zarkuk"
"149","Geraint Gottlob","Geraint Gottlob","Geraint Gottlob","Geraint Gottlob","Герант Готтлоб","Geraint Gottlob","Geraint Gottlob","Geraint Gottlob","Geraint Gottlob"
"150","Eodred Rudi","Eodred Rudi","Eodred Rudi","Eodred Rudi","Эодред Руди","Eodred Rudi","Eodred Rudi","Eodred Rudi","Eodred Rudi"
"151","Emil Frej","Emil Frej","Emil Frej","Emil Frej","Эмиль Фрей","Emil Frej","Emil Frej","Emil Frej","Emil Frej"
"152","Manfred Filibert","Manfred Filibert","Manfred Filibert","Manfred Filibert","Манфред Филиберт","Manfred Filibert","Manfred Filibert","Manfred Filibert","Manfred Filibert"
"153","Gustaf Wulf","Gustaf Wulf","Gustaf Wulf","Gustaf Wulf","Густав Вульф","Gustaf Wulf","Gustaf Wulf","Gustaf Wulf","Gustaf Wulf"
"154","Aaron Farren","Aaron Farren","Aaron Farren","Aaron Farren","Аарон Фаррен","Aaron Farren","Aaron Farren","Aaron Farren","Aaron Farren"
"155","Hieronymus Bosch","Hieronymus Bosch","Hieronymus Bosch","Hieronymus Bosch","Иероним Бош","Hieronymus Bosch","Hieronymus Bosch","Hieronymus Bosch","Hieronymus Bosch"
"156","Dagg Hearteater","Dagg Mange-Tout","Dagg Mangiacuori","Dagg Herzverschlinger","Дагг Сердцеед","Dagg Devoracorazones","Dagg Srdcojed","Dagg Hearteater","Dagg Hearteater"
"157","Boris the Bawler","Boris le Brailleur","Boris l'urlatore","Boris der Schreier","Борис Крикун","Boris el Llorón","Boris Řvoun","Boris, az üvöltő","Boris Wrzaskacz"
"158","Leo the Boss-eyed","Leo le Louche","Leo l'occioacuto","Leo der Schieler","Лео Косой","Leo el Bizco","Leo Šilhavý","Leo, a bandzsa","Leo Zezowaty"
"159","Eric Lacroix","Eric Lacroix","Eric Lacroix","Eric Lacroix","Эрик Лакруа","Eric Lacroix","Eric Lacroix","Eric Lacroix","Eric Lacroix"
"160","Fracist the Braggart","Fracist le Vantard","Fracist il gradasso","Frazist der Angeber","Фрасист Хвастун","Fracist el Fanfarrón","Fracist Chvástal","Fracist, a hencegő","Fracist Blagier"
"162","Jekil Lutolf","Jekil Lutolf","Jekil Lutolf","Jekil Lutolf","Джекил Лутольф","Jekil Lutolf","Jekil Lutolf","Jekil Lutolf","Jekil Lutolf"
"163","Jorg Wulf","Jorg Wulf","Jorg Wulf","Jorg Wulf","Йорг Вульф","Jorg Wulf","Jorg Wulf","Jorg Wulf","Jorg Wulf"
"164","Wolfgang Wulf","Wolfgang Wulf","Wolfgang Wulf","Wolfgang Wulf","Вольфганг Вульф","Wolfgang Wulf","Wolfgang Wulf","Wolfgang Wulf","Wolfgang Wulf"
"165","Goran Huppert","Goran Huppert","Goran Huppert","Goran Huppert","Горан Гуперт","Goran Huppert","Goran Huppert","Goran Huppert","Goran Huppert"
"166","Dieter Sören","Dieter Sören","Dieter Sören","Dieter Sören","Дитер Сорен","Dieter Sören","Dieter Sören","Dieter Sören","Dieter Sören"
"167","Shari the Mad","Shari le Fou","Shari il pazzo","Shari der Wahnsinnige","Шэри Безумный","Shari el Loco","Shari Šílený","Shari, az őrült","Shari Szalony"
"168","Hob the Screamer","Hob le Criard","Hob lo strillone","Hob der Kreischer","Хоб Горлодер","Hob el Gritón","Hob Řvoun","Hob, a sikoltó","Hob Krzykacz"
"169","Jorn the Storyteller","Jorn le Racontard","Jorn il cantastorie","Jorn der Geschichtenerzähler","Йорн Выдумщик","Jorn el Cuentacuentos","Jorn Vypravěč","Jorn, a mesélő","Jorn Bajarz"
"170","Stan Baraduc","Stan Baraduc","Stan Baraduc","Stan Baraduc","Стен Барадук","Stan Baraduc","Stan Baraduc","Stan Baraduc","Stan Baraduc"
"171","Kardel the Weeper","Kardel le Pleurnichard","Kardel il piagnucoloso","Kardel die Heulsuse","Кардел Плакса","Kardel el Llorica","Plačka","Kardel, a rinyás","Kardel PÃ
âaczek"
"172","Clement Galiay","Clement Galiay","Clement Galiay","Clement Galiay","Клемент Галья","Clement Galiay","Clement Galiay","Clement Galiay","Clement Galiay"
"173","Franz the Slow","Franz le Lent","Franz il lento","Franz der Langsame","Франц Тихоход","Franz el Lento","Franz Pomalý","Franz, a lassú","Franz the Slow"
"174","Ewan the Frail","Ewan tle Frêle","Ewan il fragile","Ewan der Zarte","Эван Тростник","Ewan el Frágil","Ewan Slaboch","Ewan, a gyenge","Ewan Kruchy"
"175","Aznok","Aznok","Aznok","Aznok","Азнок","Aznok","Aznok","Aznok","Aznok"
"176","Globrotta rippa'Hand","Globrotta Casse'Main","Globrotta Spezza'Mano","Globrotta Stecha'Hand","Глобротта Рви'руку","Globrotta Razga'Mano","Globrotta Rukotrh","Globrotta rippa'Hand","Globrotta RozÃ
âupywacz'DÃ
âoniuf"
"177","Ulgrot Eatz'Hearts","Ulgrot Mange'Coeur","Ulgrot Mangia'Cuori","Ulgrot Fress'Herz","Улгрот Жри'сердце","Ulgrot Traga'Korazonez","Ulgrot Srdcožrout","Ulgrot Eatz'Hearts","Ulgrot Eatz'Hearts"
"178","Ugroth Break'Skullz","Ugroth Casse'Crâne","Ugroth Rompi'Krani","Ulgroth Brech'Kopp","Ургот Ломи'череп","Ugroth Rompe'Kalaveraz","Ugroth Lebkodrtič","Ugroth Break'Skullz","Ugroth Ã
Âamacz'Czachuf"
"179","Ugluk Eat'face","Ugluk Mange'tête","Ugluk Divora'facce","Ugluk Fress'Visage","Углук Жри'морду","Ugluk Traga'kara","Ugluk Ksichtojed","Ugluk Eat'face","Ugluk Eat'face"
"180","Mug-guzzla","Mug-guzzla","Mug-guzzla","Mug-guzzla","Муг-газзла","Mug-guzzla","Mug-guzzla","Mug-guzzla","Mug-guzzla"
"181","Ugglut-gutlug","Ugglut-gutlug","Ugglut-gutlug","Ugglut-gutlug","Углут-брюхлуг","Ugglut-gutlug","Ugglut-gutlug","Ugglut-gutlug","Ugglut-gutlug"
"182","Flashgit-stompfoot","Flashgit-stompfoot","Flashgit-piepesante","Flashgit-stompfoot","Мозгляк-сломайногу","Flashgit-pizotón","Flashgit-stompfoot","Flashgit-stompfoot","Flashgit-stompfoot"
"183","Roglut-Zigzagga","Roglut-Zigzagga","Roglut-Zigzagga","Roglut-Zigzagga","Роглут-Зигзагга","Roglut-Zigzagga","Roglut-Zigzagga","Roglut-Zigzagga","Roglut-Zigzagga"
"184","Kursh","Kursh","Kursh","Kursh","Курш","Kursh","Kursh","Kursh","Kursh"
"185","Moglor","Moglor","Moglor","Moglor","Моглор","Moglor","Moglor","Moglor","Moglor"
"186","Badhag","Badhag","Badhag","Badhag","Бадхаг","Badhag","Badhag","Badhag","Badhag"
"188","Gorfang Eats'YaFace","Gorfang Mange'Tatête","Gorfang Divor'TuFacc","Gorfang Fress'Fresse","Горфанг Жри'дычу","Gorfang Traga'TuKara","Gorfang Hlavojed","Gorfang Eats'YaFace","Gorfang Eats'YaFace"
"189","Grubak Smash'Hand","Grubak Broye'Main","Grubak Distrugg'Mano","Grubak Schlag'Hand","Грубак Круши'кулак","Grubak Aplazta'Mano","Grubnak Rukodrtič","Grubak Smash'Hand","Grubak Smash'Hand"
"190","Golruk Smash'Teef","Golruk Casse'Dents","Golruk Distrugg'Denti","Golruk Schlag'Zähn","Голрак Круши'зуп","Golruk Aplazta'Piñoz","Golruk Zabíječ","Golruk Smash'Teef","Golruk Smash'Teef"
"191","Muggaskag-stompa","Muggaskag-stompa","Muggaskag-skiaccia","Muggaskag-stampfa","Рылошрам-топотун","Muggaskag-pizotón","Muggaskag-stompa","Muggaskag-stompa","Muggaskag-stompa"
"192","Gorgu'th-grintoof","Gorgu'th-grintoof","Gorgu'th-grintoof","Gorgu'th-grinszahn","Горгут-щерьзуб","Gorgu'th-grintoof","Gorgu'th-grintoof","Gorgu'th-grintoof","Gorgu'th-grintoof"
"193","Gutnok","Gutnok","Gutnok","Gutnok","Брюхнок","Gutnok","Gutnok","Gutnok","Gutnok"
"194","Muckteef-slogga","Muckteef-slogga","Muckteef-slogga","Muckteef-prügla","Грязежуб-тупяк","Muckteef-slogga","Muckteef-slogga","Muckteef-slogga","Muckteef-slogga"
"195","Stilazk","Stilazk","Stilazk","Stilazk","Стилазк","Stilazk","Stilazk","Stilazk","Stilazk"
"196","Maka'r","Maka'r","Maka'r","Maka'r","Мака'р","Maka'r","Maka'r","Maka'r","Maka'r"
"197","Lugnub","Lugnub","Lugnub","Lugnub","Лугнуб","Lugnub","Lugnub","Lugnub","Lugnub"
"198","Ragzag","Ragzag","Ragzag","Ragzag","Рагзаг","Ragzag","Ragzag","Ragzag","Ragzag"
"201","Thanyz","Thanyz","Thanyz","Thanyz","Таниз","Thanyz","Thanyz","Thanyz","Thanyz"
"202","Whukit","Whukit","Whukit","Whukit","Вукит","Whukit","Whukit","Whukit","Whukit"
"203","Thanei","Thanei","Thanei","Thanei","Таней","Thanei","Thanei","Thanei","Thanei"
"204","Fityk","Fityk","Fityk","Fityk","Фитик","Fityk","Fityk","Fityk","Fityk"
